2019-05-27 10:20:11,793 [  16177]   INFO - pl.local.NativeFileWatcherImpl - Watcher terminated with exit code 0 
2019-05-27 10:20:11,805 [  16189]   INFO - newvfs.persistent.PersistentFS - VFS dispose started 
2019-05-27 10:20:11,810 [  16194]   INFO - newvfs.persistent.PersistentFS - VFS dispose completed 
2019-05-27 10:20:11,844 [  16228]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE SHUTDOWN ------------------------------------------------------ 
2019-05-27 10:20:11,859 [  16243]   INFO - org.jetbrains.io.BuiltInServer - web server stopped 
2019-05-27 10:21:05,938 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2019-05-27 10:21:05,983 [     45]   INFO -        #com.intellij.idea.Main - IDE: PyCharm (build #PC-191.7141.48, 07 May 2019 07:34) 
2019-05-27 10:21:05,983 [     45]   INFO -        #com.intellij.idea.Main - OS: Linux (4.18.0-15-generic, amd64) 
2019-05-27 10:21:05,983 [     45]   INFO -        #com.intellij.idea.Main - JRE: 11.0.2+9-b159.56 (JetBrains s.r.o) 
2019-05-27 10:21:05,983 [     45]   INFO -        #com.intellij.idea.Main - JVM: 11.0.2+9-b159.56 (OpenJDK 64-Bit Server VM) 
2019-05-27 10:21:05,983 [     45]   INFO -        #com.intellij.idea.Main - JVM Args: -Xms128m -Xmx750m -XX:ReservedCodeCacheSize=240m -XX:+UseConcMarkSweepGC -XX:SoftRefLRUPolicyMSPerMB=50 -ea -Dsun.io.useCanonCaches=false -Djava.net.preferIPv4Stack=true -Djdk.http.auth.tunneling.disabledSchemes="" -XX:+HeapDumpOnOutOfMemoryError -XX:-OmitStackTraceInFastThrow -Dawt.useSystemAAFontSettings=lcd -Dsun.java2d.renderer=sun.java2d.marlin.MarlinRenderingEngine -XX:ErrorFile=/home/student/java_error_in_PYCHARM_%p.log -XX:HeapDumpPath=/home/student/java_error_in_PYCHARM.hprof -Didea.paths.selector=PyCharmCE2019.1 -Djb.vmOptionsFile=/opt/pycharm-community-2019.1.2/bin/pycharm64.vmoptions -Didea.platform.prefix=PyCharmCore 
2019-05-27 10:21:05,983 [     45]   INFO -        #com.intellij.idea.Main - charsets: JNU=UTF-8 file=UTF-8 
2019-05-27 10:21:05,998 [     60]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 15 ms 
2019-05-27 10:21:06,791 [    853]   INFO -     #com.intellij.util.ui.JBUI - User scale factor: 1.0 
2019-05-27 10:21:06,816 [    878]   INFO -     #com.intellij.util.ui.JBUI - System scale factor: 1.0 (JRE-managed HiDPI) 
2019-05-27 10:21:07,599 [   1661]   INFO - .intellij.idea.IdeaApplication - CPU cores: 1; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@27982be[Running, parallelism = 1, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@171de54 
2019-05-27 10:21:07,657 [   1719]   INFO - .intellij.idea.IdeaApplication - WM detected: GNOME Shell 
2019-05-27 10:21:08,840 [   2902]   INFO - llij.ide.plugins.PluginManager - load plugin descriptors took 632 ms 
2019-05-27 10:21:08,903 [   2965]   INFO - llij.ide.plugins.PluginManager - Plugin 'IntelliJ Configuration Script' can't be loaded because: Plugin does not include any module dependency tags in its plugin.xml therefore is assumed legacy and can be loaded only in IntelliJ IDEA 
2019-05-27 10:21:09,056 [   3118]   INFO - llij.ide.plugins.PluginManager - 20 plugins initialized in 848 ms 
2019-05-27 10:21:09,057 [   3119]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: Copyright (191.7141.48), EditorConfig (191.7141.48), Git Integration (191.7141.48), GitHub (191.7141.48), IDEA CORE (191.7141.48), IntelliLang (191.7141.48), Markdown support (191.7141.48), Mercurial Integration (191.7141.48), Properties Support (191.7141.48), Python Copyright (191.7141.48), Python IntelliLang (191.7141.48), Python ReStructureText Integration (191.7141.48), Python Terminal (191.7141.48), ReStructuredText Support (191.7141.48), Settings Repository (191.7141.48), Subversion (191.7141.48), Task Management (191.7141.48), Terminal (191.7141.48), YAML (191.7141.48) 
2019-05-27 10:21:09,057 [   3119]   INFO - llij.ide.plugins.PluginManager - Disabled plugins: IntelliJ Configuration Script (191.7141.48) 
2019-05-27 10:21:09,712 [   3774]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=500; buffer=10; max=721 
2019-05-27 10:21:09,791 [   3853]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: /opt/pycharm-community-2019.1.2/bin/fsnotifier64 
2019-05-27 10:21:09,862 [   3924]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2019-05-27 10:21:12,178 [   6240]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2019-05-27 10:21:12,255 [   6317]   INFO - tellij.ide.SystemHealthMonitor - restored ignored PIPE handler 
2019-05-27 10:21:12,277 [   6339]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63342 
2019-05-27 10:21:12,433 [   6495]   INFO - j.ide.ui.OptionsTopHitProvider - 905 ms spent to cache options in application 
2019-05-27 10:21:12,433 [   6495]   INFO - .openapi.application.Preloader - com.intellij.ide.ui.OptionsTopHitProvider$Activity took 904 ms 
2019-05-27 10:21:12,476 [   6538]   INFO - gs.impl.UpdateCheckerComponent - channel: release 
2019-05-27 10:21:12,710 [   6772]   INFO - il.indexing.FileBasedIndexImpl - Index exts enumerated:84, number of extensions:21 
2019-05-27 10:21:12,740 [   6802]   INFO - il.indexing.FileBasedIndexImpl - Index scheduled:29 
2019-05-27 10:21:12,793 [   6855]   INFO - tellij.psi.stubs.StubIndexImpl - All stub exts enumerated:24, number of extensions:11 
2019-05-27 10:21:12,794 [   6856]   INFO - tellij.psi.stubs.StubIndexImpl - stub exts update scheduled:0 
2019-05-27 10:21:12,935 [   6997]   INFO - pi.util.registry.RegistryValue - Registry value 'ide.ssh.one.time.password' has changed to 'true' 
2019-05-27 10:21:13,041 [   7103]   INFO - plication.impl.ApplicationImpl - 67 application components initialized in 4841ms 
2019-05-27 10:21:13,058 [   7120]   INFO - .intellij.idea.IdeaApplication - App initialization took 8174 ms 
